応	應	こころ ヨウ オウ したごころ まさに おう のう よう りっしんべん あたる こたえる ノウ
往		いにしえ いく オウ おう ゆく ぎょうにんべん さきに
押		てへん オウ おし おす おっ て おう おさえる
旺		オウ ひへん ひ おう にちへん さかん にち
欧	歐	オウ あくび うたう おう はく かける
殴	毆	オウ るまた おう なぐる ほこ ほこづくり
桜	櫻	ヨウ オウ きへん おう よう さくら き
翁		おう はね おきな オウ
奥	奧	おくまる オウ くま だいかしら だいかんむり だい ダイ おう おく
横	橫	オウ きへん おう よこ き
岡		やまへん コウ おか やま こう
屋		オク や かばねだれ しかばねかんむり しかばね かばね おく
億		ひと にんべん オク ひとがしら ひとやね おく
憶		こころ したごころ りっしんべん おく オク
臆		ニク オク にく よく おくする ヨク むね にくづき おく
虞		とらかんむり たのしむ おもんぱかる あやまる おそれ はかる グ あざむく ぐ うれえる とらがしら のぞむ
乙		おつ イツ おと きのと いつ つりばり オツ おつにょう
俺		ひと われ にんべん エン えん ひとがしら ひとやね おれ
卸		シャ わりふ まげわりふ ふしづくり おろす おろし しゃ
音		イン のん オン おとへん いん おと おん ノン ね
恩		こころ オン したごころ おん りっしんべん
温	溫	あたたまる オン さんずい あたたかい したみず あたためる おん ぬく あたたか みず
穏	穩	いねへん オン のぎ のぎへん おだやか おん いね
下		ゲ おりる しも カ さげる くだり おろす さがる げ もと イチ くだす いち くだる した くださる か
化		ケ さじ ヒ カ さじのひ ひ ふける ばける ばかす け けする か
火		れんが カ ひへん ほ ひ び れっか か
加		くわえる カ くわわる ちから か
可		くちへん カ べし コク べき くち こく か
仮	假	ひと ケ カ にんべん ひとがしら ひとやね け かり か
何		ひと なに カ にんべん ひとがしら ひとやね なん か
花		はな ケ カ くさかんむり くさ け か そうこう
佳		ひと にんべん カ ひとがしら ひとやね か
価	價	ひと ケ にんべん カ あたい ひとがしら ひとやね け か
果		カ きへん はて き はてる はたす か
河		さんずい カ したみず みず かわ か
苛		いじめる カ くさかんむり さいなむ くさ こまかい いらだつ からい か そうこう
科		いねへん のぎ のぎへん カ か いね
架		カ きへん かかる き かける か
夏		ガ ゲ が カ げ すいにょう なつ なつあし か
家		いえ ケ うち カ や け うかんむり か
荷		カ くさかんむり に くさ か そうこう
華		はな ケ カ くさかんむり くさ け か そうこう
菓		カ くさかんむり くさ か そうこう
貨		かいへん カ たから こがい かい か
渦		うず さんずい カ したみず みず か
過		カ しんにゅう しんにょう あやまつ よぎる すぎる すごす あやまち か
嫁		よめ おんな いく とつぐ カ おんなへん ゆく か
暇		いとま ひま カ ひへん ひ にちへん にち か
禍	禍	ねへん しめすへん カ しめす わざわい か
靴		カ かわへん くつ つくりがわ か
寡		カ うかんむり か
歌		うた カ あくび うたう かける か
箇		カ たけ たけかんむり こ コ か
稼		いねへん のぎ のぎへん カ かせぐ か いね
課		カ ことば ゲン げん ごんべん か
蚊		ブン むし ぶん むしへん か
牙		ガ ゲ が きば げ きばへん は
瓦		かわら ガ が ぐらむ
我		ガ が たすき われ ほこがまえ かのほこ わが ほこ わ ほこづくり
画	畫	ガ はかりごと かぎる カク が エ はかる た カイ かくする たへん かく えがく かい え
芽		ガ が くさかんむり くさ め そうこう
賀		ガ が かいへん こがい かい
雅		みやび ふるとり が ガ
餓		ガ が しょく ショク しょくへん うえる
介		ひと にんべん カイ ひとがしら ひとやね かい
回		もとおる くにがまえ エ カイ まわり まわる まわす まわし かい え かえる
灰		れんが ひへん カイ ひ はい かい れっか
会	會	あう ひと あつまる エ あわせる にんべん カイ ひとがしら ひとやね かい え
快		こころ したごころ カイ りっしんべん こころよい かい
戒		たすき カイ ほこがまえ かのほこ いましめる ほこ かい ほこづくり
改		ぼくにょう あらたまる カイ あらためる ぼくづくり とまた かい のぶん しぶん
怪		こころ ケ あやしい したごころ あやしむ カイ りっしんべん かい け
拐		て てへん かい カイ
悔	悔	こころ くやむ くいる したごころ カイ くやしい りっしんべん かい
海	海	さんずい したみず カイ うみ みず かい
界		た かい たへん カイ
皆		しろ カイ みんな しろへん かい みな
械		カイ きへん かせ き かい
絵	繪	いと エ カイ いとへん かい え
開		びらき もん ひらき ひらける カイ モン ひらく かどがまえ もんがまえ あく かい あける
階		きざはし カイ こざとへん おか かい
塊		ケ つちへん カイ つちくれ かたまり かい つち け
楷		き かい カイ きへん
解		ほどく さとる ゲ とかす げ カイ わかる つの とける とく かい つのへん ほぐす
潰		つぶれる つぶす さんずい エ したみず カイ みず かい え ついえる
壊	壞	つち エ え カイ こわれる やぶる こわす かい つちへん
懐	懷	こころ なつかしむ なつける したごころ いだく エ なつかしい ふところ カイ おもう りっしんべん なずける かい え なつく
諧		カイ やわらぐ ことば ゲン げん ごんべん かい かなう
貝		かいへん ばい こがい バイ かい
外		ゲ はずれる た げ ゆう そと ゆうべ と ガイ はずす がい タ ほか
劾		ガイ ちから がい
害		ガイ うかんむり がい
崖		がけ やまへん ゲ ぎ げ はて ガイ やま がい きし ギ
涯		さんずい みず したみず はて ガイ がい
街		まち がい ゆきがまえ カイ ガイ ぎょうがまえ かい
慨	慨	こころ したごころ なげく ガイ りっしんべん がい
蓋		けだし ふた コウ かこう くさかんむり かさ カイ おおう ガイ くさ がい かい こう そうこう
該		ことば ゲン ガイ げん ごんべん がい
概	槪	きへん ガイ がい き おおむね
骸		ほね カイ むくろ ガイ がい ほねへん かい
垣		かき つちへん エン えん つち
柿		かき し シ きへん き
各		くちへん カク くち かく おのおの
角		カク かど つの かく つのへん
拡	擴	てへん ひろがる カク コウ て かく ひろげる こう ひろめる
革		カク かわへん かく つくりがわ かわ
格		カク キャク コウ きゃく ごう きへん ゴウ かく き こう
核		き きへん カク かく
殻	殼	カク がら るまた ばい コク バイ かく ほこ こく から ほこづくり
郭		カク くるわ おおざと むら かく
覚	覺	さとる カク おぼえる みる さます かく さめる
較		カク くるま コウ かく くらべる くるまへん こう
隔		カク へだたる こざとへん おか かく へだてる
閣		カク もん モン かどがまえ もんがまえ かく
確		カク コウ いしへん かく いし たしかめる こう たしか
獲		カク いぬ かく える けものへん
嚇		くちへん カク おどす くち かく
穫		いねへん カク のぎ のぎへん かく いね
学	學	まなぶ こへん ガク こ こどもへん がく こども
岳	嶽	やまへん たけ ガク がく やま
楽	樂	たのしむ ラク ごう きへん ゴウ ガク らく がく き このむ たのしい
額		がく ひたい おおがい ガク
顎		あぎと おおがい ガク がく あご
掛		けい がけ てへん て がかり カイ がかる かかり かかる かけ ケイ かい かける
潟		セキ さんずい したみず かた みず がた せき
括		てへん くくる て カツ かつ
活		いかす さんずい いける カツ したみず かつ いきる みず
喝	喝	くちへん カツ かつ くち
渇	渴	かわく さんずい カツ したみず かつ みず
割		かたな われる わり カツ かつ さく わる りっとう
葛		カチ かち つづら カツ くさかんむり かつ くず くさ そうこう
滑		さんずい カツ かつ したみず こつ なめらか すべる コツ みず
褐	褐	カツ かつ ころもへん ころも
轄		くるま カツ かつ くさび くるまへん
且		ソ ショ かつ しょ そ イチ いち しょう ショウ
株		シュ きへん しゅ かぶ き
釜		かま フ ふ かねへん かね
鎌		かま レン れん かねへん かね ケン けん
刈		かたな りっとう カイ ガイ かる がい かい
干		ひる ほし カン かん ぼし いちじゅう ほす
刊		かたな カン かん りっとう
甘		カン かん あまやかす あまい うまい あまえる
汗		あせ さんずい したみず カン かん みず
缶	罐	かま ほとぎ ふ フ ほとぎへん カン かん
完		うかんむり かん カン
肝		ニク カン かん きも にく にくづき
官		うかんむり かん カン
冠		べきかんむり カン かん わかんむり かんむり
巻	卷	シ し すでに カン かん こ き キ おのれ イ まき ケン い まく み コ けん
看		カン かん みる よこめ め めへん
陥	陷	おとしいれる おちいる カン かん こざとへん おか
乾		かわく かわかす おつ ひる カン かん つりばり オツ いぬい ケン おつにょう ほす けん
勘		カン かん ちから
患		こころ わずらう したごころ カン かん りっしんべん
貫		かいへん つらぬく カン かん ぬく こがい かい ぬき
寒		さむい うかんむり かん カン
喚		わめく くちへん カン かん くち
堪		たまる タン つちへん カン たえる こらえる かん たん こたえる つち
換		てへん て カン かん かわる かえる
敢		ぼくにょう あえず カン かん とまた のぶん ぼくづくり あえない あえて しぶん
棺		き かん カン きへん
款		かん あくび カン かける
間		もん カン かん モン ま かどがまえ ケン もんがまえ あいだ あい けん
閑		もん カン かん モン かどがまえ もんがまえ
勧	勸	カン すすめる ちから かん ケン けん
寛	寬	ひろい くつろぐ カン かん ゆるやか うかんむり
幹		カン かん みき いちじゅう ほす
感		こころ したごころ カン かん りっしんべん
漢	漢	さんずい したみず カン かん みず
慣		こころ したごころ ならす カン かん りっしんべん なれる
管		たけ たけかんむり かん カン くだ
関	關	もん からくり カン かん かかわる モン かどがまえ もんがまえ かんぬき ぜき せき
歓	歡	あくび カン かん かける よろこぶ
監		さら カン かん
緩		いと ゆるむ カン かん いとへん ゆるやか ゆるい ゆるめる
憾		こころ したごころ カン かん りっしんべん うらむ
還		しんにゅう かん カン しんにょう かえる
館		しょく ショク しょくへん カン かん たて やかた
環		おうへん カン かん たま たまへん わ
簡		ふだ たけ たけかんむり かん カン ケン えらぶ けん
観	觀	みる カン かん しめす
韓		カン かん なめしがわ いげた から
艦		かん ふね カン ふねへん
鑑		かがみ かんがみる カン かん かねへん かね
丸		まる まるい てん まるめる ガン がん
含		ふくむ くちへん ふくめる くち ガン がん
岸		やまへん やま ガン きし がん
岩		やまへん やま ガン がん いわ
玩		おうへん もてあそぶ もちあそぶ たま ガン たまへん がん
眼		まなこ ゲン よこめ げん ガン め めへん がん
頑		ガン かたくな おおがい がん
顔		ガン がん おおがい かお
願		ねがい おおがい ガン ねがう がん
企		くわだてる ひと にんべん キ ひとがしら ひとやね き たくらむ
伎		ひと ぎ わざ にんべん キ ひとがしら ひとやね き わざおぎ ギ
危		わりふ まげわりふ あやうい き キ あやぶむ ふしづくり あぶない
机		き キ きへん つくえ
気	氣	ケ きがまえ いき キ き け
岐		やまへん ぎ キ やま き ギ
希		ケ はば きんべん まれ キ はばへん きんへん こいねがう き け
忌		こころ したごころ いまわしい キ りっしんべん き いみ いむ
汽		さんずい したみず キ みず き
奇		あやしい だいかしら だいかんむり だい ダイ くし くしき めずらしい キ き
祈	祈	ねへん しめすへん いのる キ き しめす
季		こへん こ こどもへん キ こども き
紀		き いとへん キ いと
軌		き くるまへん キ くるま
既	既	ぶ ブ すでに なし キ き むにょう すでのつくり
記		ことば しるす げん キ ゲン ごんべん き
起		おきる そうにょう おこす たつ キ き はしる おこる
飢		しょく ショク しょくへん キ き うえる
鬼		き きにょう キ おに
帰	歸	はば とつぐ きんべん キ はばへん きんへん き おくる かえす かえる
基		つち もと キ もとい き つちへん
寄		よせる よる キ き うかんむり より
規		き キ みる
亀	龜	かめ おつ きゅう きん キュウ つりばり オツ き キ おつにょう キン
喜		くちへん き キ くち よろこばす よろこぶ
幾		ヨウ いく いとがしら キ よう いくら き いくつ
揮		ふるう てへん て キ き
期		つき ゴ ご キ ふなづき つきへん き
棋		き ご キ きへん
貴		とうとぶ かいへん とうとい たっとぶ キ こがい き たっとい かい
棄		き キ すてる きへん
毀		こぼれる そしる るまた こわれる こぼつ き キ やぶる こわす ほこ ほこづくり
旗		ほうへん かたへん ほう き キ はた ホウ
器	器	くちへん うつわ キ くち き
畿		た みやこ キ たへん き
輝		かがやく くるま キ き くるまへん
機		き キ きへん はた
騎		き キ うま うまへん
技		てへん ぎ て わざ ギ
宜		ぎ よろしく よろしい うかんむり ギ
偽	僞	いつわり ひと にせ ぎ にんべん カ いつわる ひとがしら ひとやね か ギ
欺		ぎ あくび あざむく かける ギ
義		ひつじへん ぎ ひつじ ギ
疑		ぎ ひきへん うたがう ひき ヒキ ギ
儀		ひと ぎ にんべん ひとがしら ひとやね ギ
戯	戲	ほこ たわむれる ゲ ぎ たすき げ ほこがまえ かのほこ じゃれる ギ ざれる ほこづくり
擬		てへん ぎ て もどき まがい ギ
犠	犧	ぎ キ うしへん いけにえ き うし ギ
議		ぎ ことば ゲン げん ごんべん ギ
菊		くさかんむり くさ キク きく そうこう
吉		くちへん きつ よし キツ くち キチ きち
喫		くちへん きつ のむ キツ くち
詰		きち きつ つむ つまる ことば つめ キツ げん つめる キチ ゲン ごんべん づめ
却		キャク きゃく わりふ しりぞける まげわりふ しりぞく かえって ふしづくり
客		キャク カク きゃく かく うかんむり
脚		カク ニク キャク きゃく きゃ あし にく キャ かく にくづき
逆		ギャク さからう しんにゅう さかさ ぎゃく ゲキ さか げき しんにょう
虐		とらかんむり ギャク ぎゃく しいたげる とらがしら
九		おつ ここのつ きゅう ク つりばり オツ キュウ く おつにょう ここの
久		ひさしい の きゅう ク キュウ はらいぼう く
及		きゅう およぶ また キュウ およぼす および
弓		ゆみへん ゆみ キュウ きゅう
丘		きゅう キュウ おか イチ いち
旧	舊	ふるい きゅう ひへん ひ キュウ もと にちへん にち
休		ひと きゅう にんべん やすめる やすむ キュウ ひとがしら ひとやね やすまる
吸		くちへん きゅう キュウ くち すう
朽		くちる きゅう キュウ きへん き
臼		きゅう うすづく うす キュウ グ ぐ
求		もとめる きゅう さんずい したみず キュウ グ ぐ みず
究		あなかんむり きゅう ク あな キュウ きわめる く
泣		きゅう さんずい したみず キュウ みず なく
急		こころ したごころ きゅう せく キュウ いそぎ いそぐ りっしんべん
級		いとへん いと キュウ きゅう
糾		ただす いと きゅう キュウ いとへん
宮		グウ クウ みや きゅう ク ぐう キュウ くう うかんむり く
救		ぼくにょう きゅう すくう キュウ とまた のぶん ぼくづくり しぶん
球		おうへん きゅう キュウ たま たまへん
給		たもう いと きゅう たまう キュウ たまえ いとへん
嗅		かぐ くちへん きゅう キュウ くち
窮		きょう あなかんむり きわまる きゅう キョウ キュウ あな きわまり きわみ きわめる
牛		うしへん うし ぎゅう ギュウ
去		む キョ きょ こ コ さる
巨		たくみへん コウ キョ きょ たくみ こう
居		キョ きょ いる かばねだれ おる こ しかばねかんむり しかばね い かばね コ
拒		てへん キョ きょ て ゴ ご こばむ
