応	應	ヨウ あたる よう りっしんべん まさに こころ のう おう オウ したごころ こたえる ノウ
往		いく いにしえ ぎょうにんべん ゆく おう オウ さきに
押		おし てへん おっ おさえる て おう オウ おす
旺		にち にちへん ひ ひへん おう オウ さかん
欧	歐	かける うたう あくび おう オウ はく
殴	毆	るまた オウ ほこ おう ほこづくり なぐる
桜	櫻	ヨウ オウ き よう おう さくら きへん
翁		おう オウ おきな はね
奥	奧	おくまる だい だいかんむり おく くま ダイ だいかしら おう オウ
横	橫	きへん き おう オウ よこ
岡		おか やま やまへん こう コウ
屋		かばねだれ おく や かばね しかばね しかばねかんむり オク
億		にんべん ひとがしら おく ひとやね ひと オク
憶		おく りっしんべん こころ したごころ オク
臆		よく むね おくする おく にくづき ニク にく オク ヨク
虞		グ うれえる はかる たのしむ ぐ あやまる とらがしら あざむく おそれ とらかんむり おもんぱかる のぞむ
乙		イツ きのと おと いつ オツ おつにょう おつ つりばり
俺		えん にんべん おれ ひとがしら ひとやね ひと エン われ
卸		おろし まげわりふ おろす しゃ シャ わりふ ふしづくり
音		イン オン おと のん おん ね おとへん ノン いん
恩		オン りっしんべん おん こころ したごころ
温	溫	あたたか あたたまる オン さんずい あたたかい あたためる ぬく おん したみず みず
穏	穩	いね おだやか のぎへん オン のぎ おん いねへん
下		ゲ カ おりる もと くだす いち さげる さがる おろす か くだり しも げ イチ した くださる くだる
化		カ ばける さじのひ か さじ ふける ひ ヒ けする ケ ばかす け
火		カ ほ び か れっか ひ れんが ひへん
加		カ か くわえる くわわる ちから
可		カ こく コク くちへん か くち べき べし
仮	假	カ にんべん ひとがしら ケ か ひとやね ひと かり け
何		カ にんべん ひとがしら か ひとやね なん ひと なに
花		カ そうこう け か ケ くさ くさかんむり はな
佳		カ にんべん ひとがしら か ひとやね ひと
価	價	カ にんべん ひとがしら あたい か ひとやね ひと ケ け
果		カ はたす はてる き はて か きへん
河		カ さんずい かわ か したみず みず
苛		カ そうこう さいなむ か いじめる いらだつ こまかい くさ くさかんむり からい
科		いね カ のぎへん のぎ か いねへん
架		カ き か かける かかる きへん
夏		ゲ すいにょう カ ガ か が なつ げ なつあし
家		カ か うち や いえ ケ うかんむり け
荷		カ そうこう に か くさ くさかんむり
華		カ そうこう け か ケ くさ くさかんむり はな
菓		カ そうこう か くさ くさかんむり
貨		カ かい か たから こがい かいへん
渦		カ さんずい うず か したみず みず
過		カ よぎる しんにゅう か しんにょう すぎる あやまち すごす あやまつ
嫁		カ いく おんな か ゆく おんなへん とつぐ よめ
暇		カ ひま にち にちへん か いとま ひ ひへん
禍	禍	カ か しめすへん ねへん わざわい しめす
靴		カ か つくりがわ くつ かわへん
寡		カ うかんむり か
歌		カ うた か かける うたう あくび
箇		カ こ か コ たけ たけかんむり
稼		いね カ のぎへん のぎ かせぐ か いねへん
課		カ ことば ごんべん か げん ゲン
蚊		むしへん か ブン ぶん むし
牙		ゲ きばへん ガ が げ きば は
瓦		ガ が かわら ぐらむ
我		わ たすき わが ガ かのほこ が ほこがまえ われ ほこ ほこづくり
画	畫	かくする かい かく たへん はかる はかりごと が ガ かぎる えがく カイ え エ カク た
芽		め そうこう ガ が くさ くさかんむり
賀		かい ガ が こがい かいへん
雅		みやび ガ が ふるとり
餓		ショク うえる ガ しょくへん が しょく
介		かい にんべん ひとがしら ひとやね カイ ひと
回		まわる かい もとおる くにがまえ まわす まわし まわり かえる カイ え エ
灰		はい かい れっか ひ カイ れんが ひへん
会	會	かい にんべん あう ひとがしら ひとやね カイ ひと え あつまる あわせる エ
快		かい りっしんべん カイ こころ こころよい したごころ
戒		かい たすき かのほこ カイ ほこがまえ いましめる ほこ ほこづくり
改		かい あらためる ぼくづくり ぼくにょう とまた のぶん カイ あらたまる しぶん
怪		あやしむ かい りっしんべん あやしい カイ こころ ケ したごころ け
拐		カイ かい て てへん
悔	悔	かい くやむ くやしい くいる りっしんべん カイ こころ したごころ
海	海	かい さんずい したみず カイ みず うみ
界		たへん かい カイ た
皆		かい みな しろへん カイ しろ みんな
械		かい き カイ かせ きへん
絵	繪	かい いとへん いと カイ え エ
開		かい びらき かどがまえ ひらく あける もん カイ あく モン もんがまえ ひらき ひらける
階		かい おか こざとへん カイ きざはし
塊		かい つちへん かたまり カイ つちくれ ケ け つち
楷		き かい カイ きへん
解		ゲ かい つの つのへん とける とく げ さとる ほどく とかす カイ わかる ほぐす
潰		かい さんずい つぶれる したみず カイ みず つぶす え エ ついえる
壊	壞	かい つちへん こわれる やぶる カイ え エ つち こわす
懐	懷	かい なずける なつかしむ おもう ふところ なつける りっしんべん なつかしい カイ え こころ エ したごころ いだく なつく
諧		かい ことば ごんべん げん ゲン かなう カイ やわらぐ
貝		かい ばい バイ こがい かいへん
外		ゲ はずれる ほか タ ガイ はずす と がい ゆうべ げ そと ゆう た
劾		ガイ ちから がい
害		ガイ うかんむり がい
崖		ゲ やま ガイ はて やまへん げ がい ぎ ギ がけ きし
涯		さんずい ガイ はて したみず みず がい
街		かい ガイ がい ゆきがまえ カイ まち ぎょうがまえ
慨	慨	ガイ がい りっしんべん こころ なげく したごころ
蓋		かい そうこう ガイ かこう おおう けだし カイ かさ がい ふた こう コウ くさ くさかんむり
該		ことば ガイ ごんべん げん ゲン がい
概	槪	おおむね き ガイ がい きへん
骸		かい むくろ ガイ ほねへん カイ ほね がい
垣		つちへん えん エン つち かき
柿		きへん き し シ かき
各		かく くちへん くち おのおの カク
角		かど つの かく つのへん カク
拡	擴	かく ひろめる ひろがる ひろげる てへん て こう コウ カク
革		かく かわ つくりがわ かわへん カク
格		かく きゃく キャク き ゴウ ごう こう コウ カク きへん
核		き カク かく きへん
殻	殼	かく るまた こく コク ばい バイ がら ほこ ほこづくり カク から
郭		かく むら くるわ おおざと カク
覚	覺	かく おぼえる カク さとる さめる さます みる
較		かく くるま くるまへん くらべる こう コウ カク
隔		かく へだたる おか へだてる こざとへん カク
閣		かく かどがまえ もん モン もんがまえ カク
確		いしへん かく たしか たしかめる いし こう コウ カク
獲		かく いぬ けものへん カク える
嚇		かく くちへん おどす くち カク
穫		いね かく のぎへん のぎ いねへん カク
学	學	まなぶ こへん こ ガク こども こどもへん がく
岳	嶽	やま やまへん ガク たけ がく
楽	樂	き たのしむ このむ ガク ゴウ がく ごう らく ラク たのしい きへん
額		おおがい ひたい がく ガク
顎		あご おおがい ガク あぎと がく
掛		かい がかり かけ かかり けい てへん ケイ かける かかる カイ て がかる がけ
潟		せき さんずい セキ がた したみず みず かた
括		てへん かつ て くくる カツ
活		さんずい かつ したみず いける いきる みず カツ いかす
喝	喝	くちへん くち カツ かつ
渇	渴	さんずい かわく かつ したみず みず カツ
割		わり かつ わる かたな りっとう われる カツ さく
葛		そうこう かち カチ かつ つづら くず カツ くさ くさかんむり
滑		こつ さんずい かつ したみず みず コツ すべる カツ なめらか
褐	褐	ころも カツ ころもへん かつ
轄		くさび くるま かつ くるまへん カツ
且		いち ソ かつ ショウ イチ ショ しょう しょ そ
株		き シュ かぶ しゅ きへん
釜		かねへん かね フ かま ふ
鎌		かねへん レン かね けん れん かま ケン
刈		かい かる ガイ かたな カイ りっとう がい
干		ほし かん ひる いちじゅう ぼし カン ほす
刊		かん かたな りっとう カン
甘		うまい あまえる かん あまい カン あまやかす
汗		さんずい あせ かん したみず みず カン
缶	罐	ほとぎ かん ほとぎへん フ かま ふ カン
完		かん うかんむり カン
肝		きも かん にくづき ニク にく カン
官		かん うかんむり カン
冠		べきかんむり かん わかんむり かんむり カン
巻	卷	まき おのれ ケン イ き すでに こ し コ かん けん み い まく シ キ カン
看		め よこめ めへん かん みる カン
陥	陷	おか かん こざとへん おちいる おとしいれる カン
乾		いぬい かん ひる かわく けん かわかす オツ おつにょう おつ カン つりばり ケン ほす
勘		ちから カン かん
患		りっしんべん かん わずらう こころ したごころ カン
貫		かい つらぬく ぬく かん こがい かいへん カン ぬき
寒		さむい うかんむり カン かん
喚		くちへん わめく かん くち カン
堪		つちへん タン たん こらえる かん たまる こたえる たえる つち カン
換		てへん かわる かん て かえる カン
敢		ぼくづくり あえない かん ぼくにょう とまた のぶん しぶん カン あえず あえて
棺		き かん カン きへん
款		かん あくび かける カン
間		かどがまえ ま あいだ かん けん もん あい モン もんがまえ カン ケン
閑		かどがまえ かん もん モン もんがまえ カン
勧	勸	ケン すすめる かん けん ちから カン
寛	寬	くつろぐ ゆるやか かん ひろい うかんむり カン
幹		かん みき いちじゅう カン ほす
感		かん りっしんべん こころ したごころ カン
漢	漢	さんずい かん したみず みず カン
慣		なれる りっしんべん かん ならす こころ したごころ カン
管		かん くだ たけ カン たけかんむり
関	關	せき かどがまえ かん かんぬき もん かかわる モン ぜき もんがまえ カン からくり
歓	歡	よろこぶ かん かける あくび カン
監		かん カン さら
緩		ゆるい ゆるめる いとへん ゆるやか かん いと ゆるむ カン
憾		りっしんべん かん こころ したごころ うらむ カン
還		しんにゅう しんにょう かん かえる カン
館		ショク たて しょくへん かん カン やかた しょく
環		たま わ おうへん かん たまへん カン
簡		ふだ かん けん たけ カン えらぶ ケン たけかんむり
観	觀	かん しめす みる カン
韓		かん なめしがわ から カン いげた
艦		かん ふね カン ふねへん
鑑		かねへん かね かん かんがみる かがみ カン
丸		まる てん ガン まるい がん まるめる
含		ふくむ くちへん ふくめる ガン くち がん
岸		やま ガン やまへん がん きし
岩		やま ガン やまへん がん いわ
玩		もてあそぶ たま おうへん ガン がん もちあそぶ たまへん
眼		め よこめ めへん ガン まなこ げん ゲン がん
頑		おおがい がん ガン かたくな
顔		がん おおがい かお ガン
願		ねがい ガン ねがう おおがい がん
企		にんべん ひとがしら き くわだてる ひとやね ひと たくらむ キ
伎		にんべん ひとがしら わざおぎ き ひとやね ひと キ わざ ぎ ギ
危		まげわりふ き あやうい あやぶむ わりふ キ ふしづくり あぶない
机		き つくえ キ きへん
気	氣	きがまえ き ケ け キ いき
岐		やま き やまへん キ ぎ ギ
希		きんへん き きんべん はばへん まれ こいねがう はば ケ け キ
忌		いまわしい き りっしんべん こころ いみ いむ したごころ キ
汽		さんずい き したみず みず キ
奇		だい き くし だいかんむり くしき めずらしい ダイ あやしい だいかしら キ
祈	祈	き しめすへん ねへん いのる しめす キ
季		き こ こへん こども こどもへん キ
紀		き いとへん いと キ
軌		き くるまへん くるま キ
既	既	き すでに むにょう なし ブ すでのつくり ぶ キ
記		ことば しるす き ごんべん げん ゲン キ
起		おきる おこる はしる おこす き そうにょう たつ キ
飢		ショク うえる き しょくへん キ しょく
